commodity_desc,reference_period_desc,year,state_ansi,state_name,county_ansi,county_name,asd_code,asd_desc,domain_desc,source_desc,agg_level_desc,"PRODUCTION, MEASURED IN 480 LB BALES","YIELD, MEASURED IN LB / ACRE"
COTTON,YEAR,2017,01,ALABAMA,001,AUTAUGA,40,BLACK BELT,TOTAL,SURVEY,COUNTY,12400.0,753.0
COTTON,YEAR,2017,01,ALABAMA,003,BALDWIN,50,COASTAL PLAINS & GULF COAST,TOTAL,SURVEY,COUNTY,23600.0,906.0
COTTON,YEAR,2017,01,ALABAMA,005,BARBOUR,60,WIREGRASS,TOTAL,SURVEY,COUNTY,12100.0,818.0
COTTON,YEAR,2017,01,ALABAMA,015,CALHOUN,20,MOUNTAINS & EASTERN VALLEY,TOTAL,SURVEY,COUNTY,8400.0,983.0
COTTON,YEAR,2017,01,ALABAMA,019,CHEROKEE,20,MOUNTAINS & EASTERN VALLEY,TOTAL,SURVEY,COUNTY,46200.0,964.0
COTTON,YEAR,2017,01,ALABAMA,031,COFFEE,60,WIREGRASS,TOTAL,SURVEY,COUNTY,27000.0,800.0
COTTON,YEAR,2017,01,ALABAMA,035,CONECUH,50,COASTAL PLAINS & GULF COAST,TOTAL,SURVEY,COUNTY,11800.0,809.0
COTTON,YEAR,2017,01,ALABAMA,039,COVINGTON,60,WIREGRASS,TOTAL,SURVEY,COUNTY,31600.0,857.0
COTTON,YEAR,2017,01,ALABAMA,045,DALE,60,WIREGRASS,TOTAL,SURVEY,COUNTY,20500.0,895.0
COTTON,YEAR,2017,01,ALABAMA,047,DALLAS,40,BLACK BELT,TOTAL,SURVEY,COUNTY,22900.0,763.0
COTTON,YEAR,2017,01,ALABAMA,049,DE KALB,20,MOUNTAINS & EASTERN VALLEY,TOTAL,SURVEY,COUNTY,3250.0,1040.0
COTTON,YEAR,2017,01,ALABAMA,051,ELMORE,40,BLACK BELT,TOTAL,SURVEY,COUNTY,19400.0,770.0
COTTON,YEAR,2017,01,ALABAMA,053,ESCAMBIA,50,COASTAL PLAINS & GULF COAST,TOTAL,SURVEY,COUNTY,41700.0,906.0
COTTON,YEAR,2017,01,ALABAMA,057,FAYETTE,30,UPPER PLAINS & PIEDMONT,TOTAL,SURVEY,COUNTY,4500.0,864.0
COTTON,YEAR,2017,01,ALABAMA,061,GENEVA,60,WIREGRASS,TOTAL,SURVEY,COUNTY,37500.0,735.0
COTTON,YEAR,2017,01,ALABAMA,067,HENRY,60,WIREGRASS,TOTAL,SURVEY,COUNTY,33800.0,811.0
COTTON,YEAR,2017,01,ALABAMA,069,HOUSTON,60,WIREGRASS,TOTAL,SURVEY,COUNTY,41000.0,895.0
COTTON,YEAR,2017,01,ALABAMA,071,JACKSON,20,MOUNTAINS & EASTERN VALLEY,TOTAL,SURVEY,COUNTY,7700.0,821.0
COTTON,YEAR,2017,01,ALABAMA,077,LAUDERDALE,10,NORTHERN VALLEY,TOTAL,SURVEY,COUNTY,40500.0,1080.0
COTTON,YEAR,2017,01,ALABAMA,079,LAWRENCE,10,NORTHERN VALLEY,TOTAL,SURVEY,COUNTY,28500.0,1013.0
COTTON,YEAR,2017,01,ALABAMA,081,LEE,30,UPPER PLAINS & PIEDMONT,TOTAL,SURVEY,COUNTY,3100.0,744.0
COTTON,YEAR,2017,01,ALABAMA,083,LIMESTONE,10,NORTHERN VALLEY,TOTAL,SURVEY,COUNTY,61500.0,1021.0
COTTON,YEAR,2017,01,ALABAMA,087,MACON,40,BLACK BELT,TOTAL,SURVEY,COUNTY,8400.0,858.0
COTTON,YEAR,2017,01,ALABAMA,089,MADISON,10,NORTHERN VALLEY,TOTAL,SURVEY,COUNTY,62200.0,999.0
COTTON,YEAR,2017,01,ALABAMA,097,MOBILE,50,COASTAL PLAINS & GULF COAST,TOTAL,SURVEY,COUNTY,15600.0,1012.0
COTTON,YEAR,2017,01,ALABAMA,099,MONROE,50,COASTAL PLAINS & GULF COAST,TOTAL,SURVEY,COUNTY,33200.0,911.0
COTTON,YEAR,2017,01,ALABAMA,101,MONTGOMERY,40,BLACK BELT,TOTAL,SURVEY,COUNTY,7300.0,898.0
COTTON,YEAR,2017,01,ALABAMA,109,PIKE,60,WIREGRASS,TOTAL,SURVEY,COUNTY,9200.0,960.0
COTTON,YEAR,2017,01,ALABAMA,117,SHELBY,30,UPPER PLAINS & PIEDMONT,TOTAL,SURVEY,COUNTY,8200.0,820.0
COTTON,YEAR,2017,01,ALABAMA,121,TALLADEGA,30,UPPER PLAINS & PIEDMONT,TOTAL,SURVEY,COUNTY,16700.0,978.0
COTTON,YEAR,2017,01,ALABAMA,125,TUSCALOOSA,30,UPPER PLAINS & PIEDMONT,TOTAL,SURVEY,COUNTY,4400.0,845.0
COTTON,YEAR,2017,04,ARIZONA,009,GRAHAM,80,SOUTHERN,TOTAL,SURVEY,COUNTY,27300.0,1213.0
COTTON,YEAR,2017,04,ARIZONA,012,LAPAZ,80,SOUTHERN,TOTAL,SURVEY,COUNTY,36000.0,1694.0
COTTON,YEAR,2017,04,ARIZONA,013,MARICOPA,80,SOUTHERN,TOTAL,SURVEY,COUNTY,77200.0,1557.0
COTTON,YEAR,2017,04,ARIZONA,021,PINAL,80,SOUTHERN,TOTAL,SURVEY,COUNTY,260000.0,1433.0
COTTON,YEAR,2017,04,ARIZONA,027,YUMA,80,SOUTHERN,TOTAL,SURVEY,COUNTY,25700.0,1469.0
COTTON,YEAR,2017,05,ARKANSAS,003,ASHLEY,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,55700.0,1133.0
COTTON,YEAR,2017,05,ARKANSAS,017,CHICOT,90,SOUTHEAST,TOTAL,SURVEY,COUNTY,34400.0,995.0
COTTON,YEAR,2017,05,ARKANSAS,021,CLAY,30,NORTHEAST,TOTAL,SURVEY,COUNTY,85400.0,1340.0
